city_code,census_year,total_population,population_under_15,population_15_to_64,population_over_65,male_total_population,male_population_under_15,male_population_15_to_64,male_population_over_65,female_total_population,female_population_under_15,female_population_15_to_64,female_population_over_65
11218,2015,143811,18574,87536,37423,71594,9450,44923,17043,72217,9124,42613,20380
11219,2020,226940,25395,127746,61216,112288,13078,64559,27452,114652,12317,63187,33764
11219,2010,223926,31097,145640,46667,111784,15939,73755,21763,112142,15158,71885,24904
11219,2015,225196,28557,137664,57052,112157,14661,70106,26101,113039,13896,67558,30951
11221,2020,248304,29088,157501,61664,125213,14982,82508,27692,123091,14106,74993,33972
11221,2010,243855,33409,160509,46511,124553,17115,83773,21724,119302,16294,76736,24787
11221,2015,247034,30223,150966,57807,125225,15456,78687,26425,121809,14767,72279,31382
11222,2020,341621,43497,210444,87123,168747,22267,107119,38985,172874,21230,103325,48138
11222,2010,326313,44961,215931,64514,162374,22963,108925,29940,163939,21998,107006,34574
11222,2015,337498,44429,211577,80330,167023,22674,107228,36588,170475,21755,104349,43742
11223,2020,74283,7885,48527,17247,37470,4065,25434,7580,36813,3820,23093,9667
11223,2010,71502,7887,48615,14650,36394,4014,25799,6343,35108,3873,22816,8307
11223,2015,72260,7804,47699,16560,36737,4005,25237,7354,35523,3799,22462,9206
11224,2020,140899,20025,93035,23065,71388,10168,48316,10552,69511,9857,44719,12513
11224,2010,123079,18544,85749,17593,64080,9645,45573,8050,58999,8899,40176,9543
11224,2015,136150,19758,89730,21764,69674,10082,46766,9980,66476,9676,42964,11784
11225,2020,145651,16610,85174,42924,71803,8476,43264,19506,73848,8134,41910,23418
11225,2010,149872,20099,99547,30165,74107,10215,50051,13806,75765,9884,49496,16359
11225,2015,148390,18610,91488,38075,73408,9602,46240,17421,74982,9008,45248,20654
11226,2010,60908,8421,39106,13302,31028,4376,20596,6013,29880,4045,18510,7289
11227,2020,141083,19106,93817,27533,70696,9711,48307,12297,70387,9395,45510,15236
11227,2010,129691,18112,88207,21332,65503,9189,45383,9704,64188,8923,42824,11628
11227,2015,136299,18751,90480,25398,69971,9575,47256,11587,66328,9176,43224,13811
11228,2020,75346,9897,46217,18689,36945,5077,23397,8222,38401,4820,22820,10467
11228,2010,69611,9335,46712,13523,34877,4830,23716,6302,34734,4505,22996,7221
11228,2015,72676,9518,45526,17191,35998,4928,23042,7802,36678,4590,22484,9389
11229,2020,83989,11397,57416,15040,43138,5860,30409,6824,40851,5537,27007,8216
11229,2010,80745,11478,57533,11353,42150,5841,30996,5079,38595,5637,26537,6274
11229,2015,80826,11260,55944,13602,41763,5785,29811,6153,39063,5475,26133,7449
11230,2020,166017,20924,98647,42180,81781,10611,50543,18732,84236,10313,48104,23448
11230,2010,158777,21580,104229,32263,79416,10993,53168,14865,79361,10587,51061,17398
11230,2015,162122,21855,100397,39311,80627,11071,51431,17829,81495,10784,48966,21482
11231,2020,74748,8611,43586,22126,36950,4433,22221,10010,37798,4178,21365,12116
11231,2010,74711,9776,48235,16608,37053,5049,24256,7698,37658,4727,23979,8910
11231,2015,73936,9094,44710,20082,36567,4687,22639,9205,37369,4407,22071,10877
11232,2020,150582,16537,86097,46097,74607,8466,44137,21260,75975,8071,41960,24837
11232,2010,154310,19009,102955,32067,77175,9690,52378,14910,77135,9319,50577,17157
11232,2015,152311,17818,93672,40589,75993,9076,47859,18913,76318,8742,45813,21676
11233,2020,65201,6593,37112,21183,32214,3357,18900,9732,32987,3236,18212,11451
11233,2010,68888,8765,45079,15043,34181,4514,22561,7106,34707,4251,22518,7937
11233,2015,67409,7690,40610,19028,33320,3873,20565,8837,34089,3817,20045,10191
11234,2020,93363,11335,58742,21283,47995,5796,31557,9754,45368,5539,27185,11529
11234,2010,82977,11661,54987,16085,43096,6057,29122,7729,39881,5604,25865,8356
11234,2015,86717,11422,55106,19811,44812,5932,29315,9310,41905,5490,25791,10501
11235,2020,111859,13657,68450,27171,54871,6999,34307,12095,56988,6658,34143,15076
11235,2010,106736,14618,70348,21579,53134,7390,35712,9916,53602,7228,34636,11663
11235,2015,108102,13984,67166,25897,53312,7191,33850,11676,54790,6793,33316,14221
11237,2020,142145,18162,83860,38602,71486,9217,43426,17883,70659,8945,40434,20719
11237,2010,131415,17200,88480,25618,66747,8812,45463,12374,64668,8388,43017,13244
11237,2015,136521,17491,84593,34357,68950,8892,43708,16287,67571,8599,40885,18070
11238,2020,61499,6739,34826,19902,30468,3443,17941,9062,31031,3296,16885,10840
11238,2010,63309,7833,40510,14965,31545,4172,20394,6978,31764,3661,20116,7987
11238,2015,62380,7265,36750,18290,30975,3828,18707,8409,31405,3437,18043,9881
11239,2020,100275,11428,57702,29435,50041,5760,29940,13398,50234,5668,27762,16037
11239,2010,101700,13398,67077,20959,51155,6833,34194,9941,50545,6565,32883,11018
11239,2015,101679,12931,61664,26642,51307,6560,32042,12391,50372,6371,29622,14251
11240,2020,50066,4917,27131,17633,24979,2552,14094,8145,25087,2365,13037,9488
11240,2010,54012,6106,35227,12666,26924,3184,17804,5924,27088,2922,17423,6742
11240,2015,52524,5695,30872,15874,26133,2969,15723,7400,26391,2726,15149,8474
11241,2020,70117,7872,41523,20241,34585,3990,20967,9308,35532,3882,20556,10933
11241,2010,69990,9684,47536,12669,34950,4936,23798,6137,35040,4748,23738,6532
11241,2015,70255,8802,43641,17352,34976,4515,21990,8182,35279,4287,21651,9170
11242,2020,54571,6286,30041,17966,26953,3158,15339,8319,27618,3128,14702,9647
11242,2010,57473,7687,36890,12823,28548,3939,18511,6035,28925,3748,18379,6788
11242,2015,56520,7342,32816,16287,28069,3739,16631,7649,28451,3603,16185,8638
11243,2020,71979,10383,44153,17315,35800,5330,22486,7893,36179,5053,21667,9422
11243,2010,65298,10524,43450,11299,32579,5332,22006,5225,32719,5192,21444,6074
11243,2015,69738,10721,43839,15097,34955,5448,22409,7030,34783,5273,21430,8067
11245,2020,113597,14377,68512,29317,56085,7274,35152,12817,57512,7103,33360,16500
11245,2010,105695,14749,67996,22848,52640,7537,34753,10277,53055,7212,33243,12571
11245,2015,110970,15152,68532,27211,54910,7680,35157,12024,56060,7472,33375,15187
11246,2020,52214,6495,30722,14597,25764,3284,15665,6631,26450,3211,15057,7966
11246,2015,51535,6477,31790,13125,25540,3298,16183,5982,25995,3179,15607,7143
11301,2020,44841,6227,27222,10920,22539,3189,14157,4911,22302,3038,13065,6009
11301,2010,42494,7506,27740,7232,21567,3956,14129,3467,20927,3550,13611,3765
11301,2015,44442,7299,27303,9727,22354,3807,14014,4463,22088,3492,13289,5264
11324,2020,38434,4634,22185,11530,18949,2391,11395,5127,19485,2243,10790,6403
11324,2010,38706,5492,24297,8914,19161,2822,12283,4054,19545,2670,12014,4860
11324,2015,38456,5123,22432,10847,19009,2612,11434,4921,19447,2511,10998,5926
11326,2020,35366,2960,19956,11594,17534,1520,10289,5318,17832,1440,9667,6276
11326,2010,39054,4228,25893,8885,19568,2202,13181,4154,19486,2026,12712,4731
11326,2015,37275,3677,22713,10694,18659,1895,11711,4926,18616,1782,11002,5768
11327,2020,11029,933,6055,3984,5494,472,3123,1863,5535,461,2932,2121
11327,2010,12537,1447,7991,3097,6204,759,4092,1353,6333,688,3899,1744
11327,2015,11716,1169,6906,3633,5813,620,3512,1674,5903,549,3394,1959
11341,2020,19732,3063,11854,4611,10070,1559,6229,2168,9662,1504,5625,2443
11341,2010,17323,2665,11425,3191,8887,1395,6025,1435,8436,1270,5400,1756
11341,2015,18212,2899,11338,3929,9344,1483,6000,1829,8868,1416,5338,2100
11342,2020,17889,1665,10248,5868,8941,853,5344,2690,8948,812,4904,3178
11342,2010,18887,2187,12281,4414,9391,1120,6295,1972,9496,1067,5986,2442
11342,2015,18341,1894,10921,5405,9209,975,5686,2470,9132,919,5235,2935
11343,2020,28524,2287,15045,11093,14190,1163,7771,5199,14334,1124,7274,5894
11343,2010,32913,3303,21385,8221,16246,1729,10885,3629,16667,1574,10500,4592
11343,2015,31178,2817,18392,9908,15487,1458,9427,4543,15691,1359,8965,5365
11346,2020,19378,1804,10545,6970,9823,945,5532,3299,9555,859,5013,3671
11346,2010,22147,2640,14516,4988,11154,1343,7574,2235,10993,1297,6942,2753
11346,2015,20788,2223,12387,6169,10532,1165,6458,2903,10256,1058,5929,3266
11347,2020,18192,1526,10488,6146,9127,799,5394,2912,9065,727,5094,3234
11347,2010,21079,2412,14177,4482,10546,1225,7325,1988,10533,1187,6852,2494
11347,2015,19631,1863,12275,5471,9807,946,6349,2497,9824,917,5926,2974
11348,2020,13560,942,6383,6226,6556,449,3223,2878,7004,493,3160,3348
11348,2010,15305,1384,9604,4317,7503,720,4756,2027,7802,664,4848,2290
11348,2015,14338,1153,7599,5583,7002,602,3780,2618,7336,551,3819,2965
11349,2020,10540,880,5568,4092,5333,441,2960,1932,5207,439,2608,2160
11349,2010,12418,1249,7992,3176,6210,634,4154,1421,6208,615,3838,1755
11349,2015,11492,1017,6739,3734,5756,514,3511,1729,5736,503,3228,2005
11361,2020,7979,845,4403,2713,3966,419,2280,1256,4013,426,2123,1457
11361,2010,9039,1230,5433,2376,4467,637,2796,1034,4572,593,2637,1342
11361,2015,8519,1031,4886,2595,4205,509,2531,1159,4314,522,2355,1436
11362,2020,9302,936,4756,3578,4583,496,2436,1632,4719,440,2320,1946
11362,2010,10888,1321,6387,3179,5334,682,3284,1368,5554,639,3103,1811
11362,2015,10133,1144,5538,3442,4958,581,2845,1525,5175,563,2693,1917
11363,2020,6807,624,3481,2697,3321,318,1783,1217,3486,306,1698,1480
11363,2010,7908,959,4577,2372,3818,504,2281,1033,4090,455,2296,1339
11363,2015,7324,775,3984,2564,3559,419,2023,1116,3765,356,1961,1448
11365,2020,10928,1038,5624,4248,5382,529,2921,1922,5546,509,2703,2326
11365,2010,13436,1643,7849,3944,6571,859,4030,1682,6865,784,3819,2262
11365,2015,12117,1367,6712,4037,5938,712,3458,1767,6179,655,3254,2270
11369,2020,2709,173,1275,1261,1352,84,658,610,1357,89,617,651
11369,2010,3348,324,1963,1061,1653,175,1005,473,1695,149,958,588
11369,2015,2915,227,1643,1044,1474,117,852,505,1441,110,791,539
11381,2020,11039,1159,6121,3720,5540,594,3238,1681,5499,565,2883,2039
11381,2010,11605,1368,7371,2866,5800,721,3867,1212,5805,647,3504,1654
11381,2015,11207,1279,6592,3336,5593,656,3437,1500,5614,623,3155,1836
11383,2020,13359,1354,7480,4381,6755,691,3901,2073,6604,663,3579,2308
11383,2010,14470,1909,9372,3176,7233,982,4852,1393,7237,927,4520,1783
11383,2015,13730,1575,8253,3808,6968,811,4345,1743,6762,764,3908,2065
11385,2020,30343,3384,17011,8322,15012,1729,8580,3779,15331,1655,8431,4543
11385,2010,30998,4727,20428,5811,15352,2426,10333,2576,15646,2301,10095,3235
11385,2015,30565,4242,19034,7270,15090,2163,9666,3247,15475,2079,9368,4023
11408,2020,32374,3219,18169,10904,16053,1648,9413,4932,16321,1571,8756,5972
11408,2010,35774,4338,22766,8669,17725,2233,11647,3844,18049,2105,11119,4825
11408,2015,34081,3680,20339,9996,16929,1884,10455,4529,17152,1796,9884,5467
11442,2020,34147,3711,18897,10974,17182,1892,9949,5034,16965,1819,8948,5940
11442,2010,33641,3688,21684,8218,17275,1860,11451,3919,16366,1828,10233,4299
11442,2015,33705,3581,19920,10096,17138,1777,10603,4676,16567,1804,9317,5420
11445,2010,50272,6738,32892,10598,25039,3478,16692,4837,25233,3260,16200,5761
11464,2020,43845,4655,24567,14406,21927,2411,12728,6696,21918,2244,11839,7710
11464,2010,46923,6068,30499,10327,23572,3147,15510,4897,23351,2921,14989,5430
11464,2015,45495,5341,27097,12993,22798,2817,13819,6119,22697,2524,13278,6874
11465,2020,28266,3069,16785,8405,14208,1605,8711,3886,14058,1464,8074,4519
11465,2010,31153,4635,20309,6193,15622,2348,10413,2845,15531,2287,9896,3348
11465,2015,30061,3883,18400,7716,15072,2011,9495,3521,14989,1872,8905,4195
12000,2020,6284480,734496,3715691,1699991,3117987,376619,1905387,762793,3166493,357877,1810304,937198
12000,2010,6216289,799646,4009060,1320120,3098139,409583,2040885,597060,3118150,390063,1968175,723060
12000,2015,6222666,762112,3779812,1584419,3095860,390766,1930763,718312,3126806,371346,1849049,866107
12100,2020,974951,110929,569887,249963,481246,56863,289316,111731,493705,54066,280571,138232
12100,2010,961749,123972,606496,198850,480194,63481,305850,91955,481555,60491,300646,106895
12100,2015,971882,122062,597580,238213,482840,62311,303486,108536,489042,59751,294094,129677
12101,2020,211736,21828,120893,45674,105766,11280,61917,20292,105970,10548,58976,25382
12101,2010,199364,23198,126882,40845,100697,11905,65552,18272,98667,11293,61330,22573
12101,2015,205070,23938,134953,45880,102109,12145,69254,20502,102961,11793,65699,25378
12102,2020,177328,18670,104457,48978,87280,9576,53240,21736,90048,9094,51217,27242
12102,2010,180949,20910,111517,40274,90371,10762,56178,18765,90578,10148,55339,21509
12102,2015,179200,20692,108964,47695,89407,10653,55712,21947,89793,10039,53252,25748
12103,2020,160582,18578,92289,41775,80345,9430,47320,18690,80237,9148,44969,23085
12103,2010,157768,20201,102392,32215,78835,10379,51950,14757,78933,9822,50442,17458
12103,2015,160968,20103,97173,39085,80280,10229,49629,17729,80688,9874,47544,21356
12104,2020,146940,15618,82633,44694,73000,8067,43036,20137,73940,7551,39597,24557
12104,2010,151585,17871,90698,37665,76348,9310,46410,17511,75237,8561,44288,20154
12104,2015,151078,17218,84832,44079,76253,9009,43989,20168,74825,8209,40843,23911
12105,2020,129421,18132,79840,29730,63121,9287,39469,13507,66300,8845,40371,16223
12105,2010,121921,20151,79947,20995,60305,10161,39832,9661,61616,9990,40115,11334
12105,2015,126848,19763,80799,26169,62194,9995,40227,11888,64654,9768,40572,14281
12106,2020,148944,18103,89775,39112,71734,9223,44334,17369,77210,8880,45441,21743
12106,2010,150162,21641,95060,26856,73638,10964,45928,12989,76524,10677,49132,13867
12106,2015,148718,20348,90859,35305,72597,10280,44675,16302,76121,10068,46184,19003
12202,2020,58431,4470,31241,22053,28248,2251,16097,9483,30183,2219,15144,12570
12202,2010,70210,7118,42813,20194,33820,3625,21862,8267,36390,3493,20951,11927
12202,2015,64415,5780,36797,21627,31005,2969,18842,9069,33410,2811,17955,12558
12203,2020,496676,57265,323110,103359,251351,29323,168695,45560,245325,27942,154415,57799
12203,2010,473919,54439,310379,86320,239222,27630,159451,39084,234697,26809,150928,47236
12203,2015,481732,49931,284939,104735,242652,25515,145500,48042,239080,24416,139439,56693
12204,2020,642907,80576,396514,152773,318860,41408,203988,67299,324047,39168,192526,85474
12204,2010,609040,82370,404234,118833,306399,42408,207963,54017,302641,39962,196271,64816
12204,2015,622890,82258,391731,142446,311358,42346,201753,63907,311532,39912,189978,78539
12205,2020,45153,4121,21071,17734,21846,2172,10657,7706,23307,1949,10414,10028
12205,2010,49290,5861,27943,15475,23574,3045,14065,6456,25716,2816,13878,9019
12205,2015,47464,5205,24640,17486,22775,2701,12386,7589,24689,2504,12254,9897
12206,2020,136166,17144,79146,37370,68450,8782,41564,16818,67716,8362,37582,20552
12206,2010,129312,17462,82458,29069,65242,8947,42853,13180,64070,8515,39605,15889
12206,2015,134141,17688,80841,34730,67450,9058,42257,15640,66691,8630,38584,19090
12207,2020,498232,56850,305487,127595,247210,29204,156709,56220,251022,27646,148778,71375
12207,2010,484457,58921,310363,100597,240674,30095,156564,45810,243783,28826,153799,54787
12207,2015,483480,56055,296656,121666,240928,28663,151284,55317,242552,27392,145372,66349
12208,2020,152638,17426,86231,47051,76195,8984,44995,21315,76443,8442,41236,25736
12208,2010,155491,20405,100680,34020,77963,10540,51596,15621,77528,9865,49084,18399
12208,2015,153583,19075,91030,42678,76541,9813,46761,19608,77042,9262,44269,23070
12210,2020,86782,8635,47894,28774,42643,4430,24401,13077,44139,4205,23493,15697
12210,2010,93015,11174,58833,22490,45913,5730,29747,10057,47102,5444,29086,12433
12210,2015,89688,9596,51480,26767,44170,4843,26092,12096,45518,4753,25388,14671
12211,2020,132906,16794,81731,31352,66231,8639,41602,14274,66675,8155,40129,17078
12211,2010,128933,18127,87111,22674,64852,9397,44978,9892,64081,8730,42133,12782
12211,2015,131190,18347,83806,27531,65928,9493,43164,12361,65262,8854,40642,15170
12212,2020,168743,18589,94196,55000,82421,9613,47217,25157,86322,8976,46979,29843
12212,2010,172183,21454,112223,38498,84246,11031,55220,17991,87937,10423,57003,20507
12212,2015,172739,20505,102334,49464,84434,10641,50655,22961,88305,9864,51679,26503
12213,2020,58219,6040,33761,17163,29251,3077,17538,7896,28968,2963,16223,9267
12213,2010,61751,7606,41079,12810,30752,3907,21089,5606,30999,3699,19990,7204
12213,2015,60652,6847,37906,15418,30219,3503,19451,6953,30433,3344,18455,8465
12215,2020,63745,7170,36134,19843,31379,3646,18635,8710,32366,3524,17499,11133
12215,2010,69058,8890,43499,16630,33735,4533,22384,6784,35323,4357,21115,9846
12215,2015,66586,8119,39616,18706,32625,4157,20381,7999,33961,3962,19235,10707
12216,2020,176197,22186,111019,40483,87882,11318,57522,17746,88315,10868,53497,22737
12216,2010,164530,22675,110339,31488,83184,11648,57301,14215,81346,11027,53038,17273
12216,2015,167909,22309,107781,37455,84323,11384,56052,16647,83586,10925,51729,20808
12217,2020,426468,53333,251739,110212,210824,27178,127936,49184,215644,26155,123803,61028
12217,2010,404012,54571,267374,80129,201045,27970,135258,36700,202967,26601,132116,43429
12217,2015,413954,52766,255018,99189,205971,26941,129752,44996,207983,25825,125266,54193
12218,2020,16927,1145,8357,7290,8704,581,4796,3215,8223,564,3561,4075
12218,2010,20788,1762,12250,6775,10639,881,6905,2853,10149,881,5345,3922
12218,2015,19248,1419,10555,7265,9946,697,6092,3152,9302,722,4463,4113
12219,2020,269524,30046,154641,78661,138438,15460,82219,36924,131086,14586,72422,41737
12219,2010,280416,35751,183749,58635,143338,18225,96443,27286,137078,17526,87306,31349
12219,2015,274656,32976,167270,70814,141134,16911,88619,33191,133522,16065,78651,37623
12220,2020,199849,31172,118860,46047,98431,15894,59995,20640,101418,15278,58865,25407
12220,2010,163984,22112,107576,33808,81721,11238,54464,15649,82263,10874,53112,18159
12220,2015,174373,24745,106813,41953,86249,12591,54013,19128,88124,12154,52800,22825
12221,2020,199498,25580,122780,50490,97920,13162,61930,22415,101578,12418,60850,28075
12221,2010,189781,28994,122317,38465,93688,14817,61098,17769,96093,14177,61219,20696
12221,2015,193152,27283,118963,46873,95224,13970,60027,21203,97928,13313,58936,25670
12222,2020,130510,14296,74457,39879,63546,7358,37732,17638,66964,6938,36725,22241
12222,2010,134017,16718,81590,31271,65732,8607,40305,14468,68285,8111,41285,16803
12222,2015,131606,16072,77445,37579,64614,8315,38933,17051,66992,7757,38512,20528
12223,2020,32116,2991,16205,12375,15224,1561,7852,5509,16892,1430,8353,6866
12223,2010,35766,3929,20221,11567,16898,2060,9867,4940,18868,1869,10354,6627
12223,2015,33932,3524,17985,12295,16079,1856,8724,5438,17853,1668,9261,6857
12224,2020,109932,12558,63683,31488,53592,6354,32360,13988,56340,6204,31323,17500
12224,2010,107853,14258,69462,23703,53178,7163,34773,11008,54675,7095,34689,12695
12224,2015,108917,13793,65442,29115,53490,7035,32901,13304,55427,6758,32541,15811
12225,2020,82206,8427,45829,26366,41928,4347,24783,11805,40278,4080,21046,14561
12225,2010,89168,11005,56814,21219,45325,5755,30170,9278,43843,5250,26644,11941
12225,2015,86033,9845,51359,24339,43622,5156,27356,10795,42411,4689,24003,13544
12226,2020,42465,3665,21976,16118,21529,1908,11946,7310,20936,1757,10030,8808
12226,2010,48073,5009,29028,13974,24130,2609,15376,6088,23943,2400,13652,7886
12226,2015,45601,4271,25510,15684,22975,2221,13678,6981,22626,2050,11832,8703
12227,2020,171362,21564,116855,29971,83506,11055,56964,13692,87856,10509,59891,16279
12227,2010,164877,26929,118402,19290,82177,13565,59407,9006,82700,13364,58995,10284
12227,2015,164024,23336,113576,25836,81057,11952,56279,12040,82967,11384,57297,13796
12228,2020,93576,12477,53027,27066,46347,6536,27166,12240,47229,5941,25861,14826
12228,2010,86726,11833,54781,20093,43033,6163,27147,9709,43693,5670,27634,10384
12228,2015,89245,11888,51765,24975,44077,6198,26017,11543,45168,5690,25748,13432
12229,2020,63883,8622,37221,17057,32214,4340,19369,7929,31669,4282,17852,9128
12229,2010,60355,8421,39688,12157,30502,4374,20497,5572,29853,4047,19191,6585
12229,2015,60952,8253,37334,15143,30660,4234,19266,7016,30292,4019,18068,8127
12230,2020,67455,6273,39431,20912,34113,3204,20643,9858,33342,3069,18788,11054
12230,2010,73212,9526,49239,14447,36644,4873,25207,6564,36568,4653,24032,7883
12230,2015,70734,7778,44540,18124,35598,3972,22960,8509,35136,3806,21580,9615
12231,2020,102609,16789,61663,23698,50574,8527,30461,11293,52035,8262,31202,12405
12231,2010,88176,12802,61063,14193,43566,6573,30592,6339,44610,6229,30471,7854
12231,2015,92670,13825,59599,18943,45744,7058,29665,8826,46926,6767,29934,10117
12232,2020,62441,8616,36076,17101,30916,4376,18313,7891,31525,4240,17763,9210
12232,2010,60345,9575,39855,10825,29943,4882,19913,5104,30402,4693,19942,5721
12232,2015,61674,9634,37404,14381,30654,4920,18751,6814,31020,4714,18653,7567
12233,2020,49735,5381,29894,14035,25303,2766,15562,6716,24432,2615,14332,7319
12233,2010,51087,6438,35212,9160,26052,3244,18297,4318,25035,3194,16915,4842
12233,2015,49636,5888,31213,12161,25182,2988,16142,5839,24454,2900,15071,6322
12234,2020,35831,3001,15867,16895,17011,1482,8053,7435,18820,1519,7814,9460
12234,2010,42104,4107,22206,15784,19838,2097,11145,6590,22266,2010,11061,9194
12234,2015,39033,3608,18585,16826,18549,1846,9406,7285,20484,1762,9179,9541
12235,2020,35040,3471,18984,12581,17251,1802,9883,5562,17789,1669,9101,7019
12235,2010,39814,4632,24177,10952,19474,2368,12535,4533,20340,2264,11642,6419
12235,2015,37261,4114,21180,11873,18178,2081,10970,5065,19083,2033,10210,6808
12236,2020,72356,6637,38325,26659,35626,3440,20003,11857,36730,3197,18322,14802
12236,2010,82866,9457,50131,23178,40592,4846,25874,9797,42274,4611,24257,13381
12236,2015,77499,7992,43739,25544,38103,4155,22646,11187,39396,3837,21093,14357
12237,2020,48444,4321,26518,17329,24200,2268,13761,7993,24244,2053,12757,9336
12237,2010,56089,6469,35086,14177,27676,3368,17982,6111,28413,3101,17104,8066
12237,2015,52222,5214,30788,16121,25889,2734,15874,7210,26333,2480,14914,8911
12238,2020,35544,3162,17316,15065,17362,1657,8917,6787,18182,1505,8399,8278
12238,2010,40962,4224,23127,13598,19831,2200,11725,5898,21131,2024,11402,7700
12238,2015,38594,3691,20186,14679,18719,1930,10286,6486,19875,1761,9900,8193
12239,2020,48129,5090,26858,15770,23549,2563,13446,7285,24580,2527,13412,8485
12239,2015,49184,5637,29451,13912,24250,2873,14789,6473,24934,2764,14662,7439
12322,2020,20745,2009,11533,6810,10155,995,5894,3098,10590,1014,5639,3712
12322,2010,21234,2706,13851,4618,10626,1370,7030,2197,10608,1336,6821,2421
12322,2015,20955,2476,12363,5970,10327,1269,6217,2785,10628,1207,6146,3185
12329,2020,20127,1645,10633,7840,9869,811,5380,3672,10258,834,5253,4168
12329,2010,22580,2227,15403,4950,10971,1105,7632,2234,11609,1122,7771,2716
12329,2015,21228,1927,12834,6400,10338,948,6329,3006,10890,979,6505,3394
12342,2020,5816,506,3227,2011,2938,255,1738,912,2878,251,1489,1099
12342,2010,6454,768,3905,1781,3226,395,2055,776,3228,373,1850,1005
12342,2015,6133,600,3579,1954,3086,333,1886,867,3047,267,1693,1087
12347,2020,13735,1242,7279,5097,6941,620,3911,2328,6794,622,3368,2769
12347,2010,16002,1673,9591,4730,7948,889,5066,1987,8054,784,4525,2743
12347,2015,14724,1384,8372,4936,7337,701,4457,2152,7387,683,3915,2784
12349,2020,13228,1254,6748,5187,6575,664,3557,2328,6653,590,3191,2859
12349,2010,15154,1729,9132,4290,7443,878,4709,1853,7711,851,4423,2437
12349,2015,14152,1456,7857,4831,6984,735,4100,2142,7168,721,3757,2689
12402,2010,50113,6341,32266,11454,24626,3212,16240,5136,25487,3129,16026,6318
12403,2020,14639,1111,7499,5920,7203,578,3911,2645,7436,533,3588,3275
12403,2010,18004,1842,11075,5065,8691,917,5692,2067,9313,925,5383,2998
12403,2015,16510,1487,9190,5783,8039,783,4727,2493,8471,704,4463,3290
12409,2020,7033,605,3778,2629,3474,304,1982,1173,3559,301,1796,1456
12409,2010,7920,925,4774,2213,3887,459,2475,948,4033,466,2299,1265
12409,2015,7431,776,4221,2431,3650,394,2215,1039,3781,382,2006,1392
12410,2020,22075,2224,11549,8295,10767,1177,5889,3698,11308,1047,5660,4597
12410,2010,24675,2952,14614,7091,12002,1583,7350,3057,12673,1369,7264,4034
12410,2015,23762,2556,13062,8000,11586,1361,6612,3528,12176,1195,6450,4472
12421,2020,11897,1443,6378,3890,5824,765,3229,1708,6073,678,3149,2182
12421,2010,12034,1516,7188,3305,5888,806,3643,1415,6146,710,3545,1890
12421,2015,11767,1519,6527,3703,5716,797,3279,1626,6051,722,3248,2077
12422,2020,6760,664,3250,2843,3259,342,1641,1273,3501,322,1609,1570
12422,2010,7340,695,4310,2335,3475,328,2150,997,3865,367,2160,1338
12422,2015,7222,703,3826,2693,3439,345,1905,1189,3783,358,1921,1504
12423,2020,13803,1275,7786,4740,6801,659,3981,2159,7002,616,3805,2581
12423,2010,14752,1873,9025,3854,7241,969,4593,1679,7511,904,4432,2175
12423,2015,14359,1579,8360,4419,7057,808,4264,1985,7302,771,4096,2434
12424,2020,10305,944,5176,4162,5115,490,2653,1956,5190,454,2523,2206
12424,2010,12151,1205,7315,3630,5944,632,3721,1591,6207,573,3594,2039
12424,2015,11149,1034,6033,4077,5513,550,3092,1867,5636,484,2941,2210
12426,2020,6721,492,3264,2960,3295,260,1700,1331,3426,232,1564,1629
12426,2010,8035,819,4793,2423,3946,427,2495,1024,4089,392,2298,1399
12426,2015,7337,617,3974,2746,3588,326,2049,1213,3749,291,1925,1533
12427,2020,7198,515,3468,3215,3527,274,1796,1457,3671,241,1672,1758
